id_subsls,kd_prov,kd_kab,kd_kec,kd_desa,kd_sls,nama_prov,nama_kab,nama_kec,nama_desa,nama_sls,kd_pos
7103080002000400,71,03,080,002,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BELENGANG,LINDONGAN 04,95853
7103060015000300,71,03,060,015,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN,BENTUNG,LINDONGAN 3,95858
7103041002000200,71,03,041,002,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TATOARENG,MAHENGETANG,LINDONGAN 2,95851
7103092001000400,71,03,092,001,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA BARAT,PANANEKENG,RT 04 LINGKUNGAN II,95811
7103100027000300,71,03,100,027,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BOWONGKULU I,LINDONGAN 03,95856
7103100027000100,71,03,100,027,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BOWONGKULU I,LINDONGAN 01,95856
7103100027000200,71,03,100,027,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BOWONGKULU I,LINDONGAN 02,95856
7103080002000100,71,03,080,002,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BELENGANG,LINDONGAN 01,95853
7103090012001200,71,03,090,012,0012,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,BUNGALAWANG,RT 12 LINGKUNGAN 4,95811
7103080002000300,71,03,080,002,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BELENGANG,LINDONGAN 03,95853
7103062004000200,71,03,062,004,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGGARA,DALOKAWENG,LINDONGAN 02,95850
7103090012000600,71,03,090,012,0006,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,BUNGALAWANG,RT 06 LINGKUNGAN 2,95811
7103091005000200,71,03,091,005,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,DUMUHUNG,RT 02 LINGKUNGAN 1,95816
7103091005000700,71,03,091,005,0007,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,DUMUHUNG,RT 07 LINGKUNGAN 3,95816
7103101002000200,71,03,101,002,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,NUSA TABUKAN,NANEDAKELE,LINDONGAN 002,95842
7103070006000300,71,03,070,006,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN TENGAH,BUNGALAWANG,LINDONGAN 03,95857
7103100014000400,71,03,100,014,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,KALASUGE,LINDONGAN 04,95856
7103100014000100,71,03,100,014,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,KALASUGE,LINDONGAN 01,95856
7103080002000200,71,03,080,002,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BELENGANG,LINDONGAN 02,95853
7103050006000100,71,03,050,006,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,DAGHO,LINDONGAN 01,95855
7103050006000202,71,03,050,006,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,DAGHO,LINDONGAN 02,95855
7103060009000300,71,03,060,009,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN,BIRAHI,LINDONGAN 3,95858
7103061008000100,71,03,061,008,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGAH,TENDA,LINDONGAN 01,95859
7103061004000400,71,03,061,004,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGAH,SALURANG,LINDONGAN 04,95859
7103070006000100,71,03,070,006,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN TENGAH,BUNGALAWANG,LINDONGAN 01,95857
7103062004000100,71,03,062,004,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGGARA,DALOKAWENG,LINDONGAN 01,95850
7103080002000500,71,03,080,002,0005,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BELENGANG,LINDONGAN 05,95853
7103091005000400,71,03,091,005,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,DUMUHUNG,RT 04 LINGKUNGAN 2,95816
7103062006000300,71,03,062,006,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGGARA,MALISADE,LINDONGAN 03,95850
7103080018000100,71,03,080,018,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BENGKA,LINDONGAN 01,95853
7103062006000200,71,03,062,006,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGGARA,MALISADE,LINDONGAN 02,95850
7103040005000100,71,03,040,005,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU SELATAN,BEBALANG,LINDONGAN 001,95854
7103050006000400,71,03,050,006,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,DAGHO,LINDONGAN 04,95855
7103050006000300,71,03,050,006,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,DAGHO,LINDONGAN 03,95855
7103110001000400,71,03,110,001,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,KENDAHE,KENDAHE DUA,LINDONGAN 04,95852
7103100014000200,71,03,100,014,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,KALASUGE,LINDONGAN 02,95856
7103100014000300,71,03,100,014,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,KALASUGE,LINDONGAN 03,95856
7103040005000400,71,03,040,005,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU SELATAN,BEBALANG,LINDONGAN 004,95854
7103091005001200,71,03,091,005,0012,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,DUMUHUNG,RT 12 LINGKUNGAN 4,95816
7103050006000201,71,03,050,006,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,DAGHO,LINDONGAN 02,95855
7103090012000300,71,03,090,012,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,BUNGALAWANG,RT 03 LINGKUNGAN 1,95811
7103040012000300,71,03,040,012,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU SELATAN,KALUWATU,LINDONGAN 3,95854
7103080018000200,71,03,080,018,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BENGKA,LINDONGAN 002,95853
7103080014200100,71,03,080,014,2001,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,HIUNG,HUTAN,95853
7103091006000200,71,03,091,006,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,ENENGPAHEMBANG,RT 02 LINGKUNGAN 1,95815
7103040012000200,71,03,040,012,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU SELATAN,KALUWATU,LINDONGAN 2,95854
7103100014000500,71,03,100,014,0005,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,KALASUGE,LINDONGAN 05,95856
7103100011000500,71,03,100,011,0005,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,KALEKUBE,LINDONGAN 05,95856
7103110001000200,71,03,110,001,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,KENDAHE,KENDAHE DUA,LINDONGAN 02,95852
7103061009000200,71,03,061,009,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGAH,AHA PATUNG,LINDONGAN 02,95859
7103090012000700,71,03,090,012,0007,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,BUNGALAWANG,RT 07 LINGKUNGAN 3,95811
7103080014000300,71,03,080,014,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,HIUNG,LINDONGAN 03,95853
